File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF329CUQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR192PBJ	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										JUN-human	DNA				formaldehyde		2017-10-19	GGR		sonication (Bioruptor Twin)	>200	1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF534UWH/, /files/ENCFF521PBZ/, /files/ENCFF439UUO/, /files/ENCFF356LFX/, /files/ENCFF928UTV/, /files/ENCFF782UQO/, /files/ENCFF690PEG/	684684	ENCODE Processing Pipeline	2c2d12ddff4e62ceef82b96325bdd7b9		https://www.encodeproject.org/files/ENCFF329CUQ/@@download/ENCFF329CUQ.bed.gz				released	s3://encode-public/2020/12/31/34390dba-c5af-4494-ab01-8af5e26a3072/ENCFF329CUQ.bed.gz	ENCODE4 v1.6.1 GRCh38	released			
ENCFF738IQL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR492FKD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-896'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/113835/'], '@type': ['Target', 'Item'], 'name': 'ZNF257-human', 'label': 'ZNF257', '@id': '/targets/ZNF257-human/', 'title': 'ZNF257 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '825376ef-b2b4-4a04-8669-9f1c2f2bd99c', 'status': 'released'}				ZNF257-human	DNA						2021-01-06	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_2, 2_2							/files/ENCFF356LFX/, /files/ENCFF840PAF/, /files/ENCFF174OKT/, /files/ENCFF122YSZ/	80243	ENCODE Processing Pipeline	9ded87530e17040c7f08d09d0028047e		https://www.encodeproject.org/files/ENCFF738IQL/@@download/ENCFF738IQL.bed.gz				released	s3://encode-public/2020/11/11/2b00bba6-a9dd-41e6-a204-66c5c994a3fc/ENCFF738IQL.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, matching md5 sums		
ENCFF171XML	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR949COJ	TF ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens	all-trans-retinoic acid	6 μM	48 hour	CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/406/'], '@type': ['Target', 'Item'], 'name': 'ARNTL-human', 'label': 'ARNTL', '@id': '/targets/ARNTL-human/', 'title': 'ARNTL (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'ef863c48-9680-4c8f-9d5f-01a66acd5d94', 'status': 'released'}				ARNTL-human	DNA				formaldehyde		2020-07-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF582KRM/, /files/ENCFF897PPT/, /files/ENCFF356LFX/, /files/ENCFF214PRE/	26053	ENCODE Processing Pipeline	92cc68d18766602d84a308da2b5b2187		https://www.encodeproject.org/files/ENCFF171XML/@@download/ENCFF171XML.bed.gz				released	s3://encode-public/2020/07/07/3ed464bf-4e89-4aaf-b819-99da71a31fa5/ENCFF171XML.bed.gz	ENCODE4 v1.5.0 GRCh38	released	moderate library complexity, borderline replicate concordance, low read depth, mild to moderate bottlenecking		
ENCFF178IDY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR376QPI	TF ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens	all-trans-retinoic acid	6 μM	48 hour	CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1389'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/22835/'], '@type': ['Target', 'Item'], 'name': 'ZFP30-human', 'label': 'ZFP30', '@id': '/targets/ZFP30-human/', 'title': 'ZFP30 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '9c06b861-08c0-4ae0-a2bf-f96202352881', 'status': 'released'}				ZFP30-human	DNA				formaldehyde		2022-01-25	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF214PRE/, /files/ENCFF817KCF/, /files/ENCFF356LFX/, /files/ENCFF300FXS/	81943	ENCODE Processing Pipeline	1a1d3f047a2db67c30a4c9c66b2c64e7		https://www.encodeproject.org/files/ENCFF178IDY/@@download/ENCFF178IDY.bed.gz				released	s3://encode-public/2020/07/06/4167e1c8-f1ca-4181-ab4e-c7fd9d4c51f2/ENCFF178IDY.bed.gz	ENCODE4 v1.5.0 GRCh38	released	missing genetic modification reagents, moderate library complexity, mild to moderate bottlenecking		
ENCFF024BHX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR829WBA	TF ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1778'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/5017/'], '@type': ['Target', 'Item'], 'name': 'OVOL1-human', 'label': 'OVOL1', '@id': '/targets/OVOL1-human/', 'title': 'OVOL1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '35bbee27-ef72-4ccc-ab88-d81772f61073', 'status': 'released'}				OVOL1-human	DNA				formaldehyde		2020-07-08	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF384KIN/, /files/ENCFF341DTL/, /files/ENCFF356LFX/, /files/ENCFF676OIV/	410079	ENCODE Processing Pipeline	06721813a9ce7dda622389e3f81f2a7f		https://www.encodeproject.org/files/ENCFF024BHX/@@download/ENCFF024BHX.bed.gz				released	s3://encode-public/2020/06/30/d801b256-0ead-4aed-85b1-2b6b962239c3/ENCFF024BHX.bed.gz	ENCODE4 v1.5.0 GRCh38	released	moderate library complexity, mild to moderate bottlenecking		
ENCFF292HSS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR026KKZ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1577'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7709/'], '@type': ['Target', 'Item'], 'name': 'ZBTB17-human', 'label': 'ZBTB17', '@id': '/targets/ZBTB17-human/', 'title': 'ZBTB17 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e86aede1-f151-4dd7-b5a7-ebe79f73db60', 'status': 'released'}				ZBTB17-human	DNA				formaldehyde		2020-08-03	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF670GFN/, /files/ENCFF356LFX/, /files/ENCFF631KYO/	283023	ENCODE Processing Pipeline	8bed469c7f2fbb0d0865b541324bb14e		https://www.encodeproject.org/files/ENCFF292HSS/@@download/ENCFF292HSS.bed.gz				released	s3://encode-public/2020/07/07/2fcb9a50-1202-48cb-826f-9d8114afd890/ENCFF292HSS.bed.gz	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking		
ENCFF410SWS	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR844JVU	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10732/'], '@type': ['Target', 'Item'], 'name': 'TCFL5-human', 'label': 'TCFL5', '@id': '/targets/TCFL5-human/', 'title': 'TCFL5 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '6462038c-8767-4f26-ac1b-d7c663b277a4', 'status': 'released'}				TCFL5-human	DNA						2021-01-06	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF174OKT/, /files/ENCFF045AAB/, /files/ENCFF755YFZ/	39200	ENCODE Processing Pipeline	60d335277f3b6c34d4f2d52544f64d82		https://www.encodeproject.org/files/ENCFF410SWS/@@download/ENCFF410SWS.bed.gz				released	s3://encode-public/2020/11/11/d47cecf1-c437-42c5-8a86-f1eeace50ab3/ENCFF410SWS.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, matching md5 sums		
ENCFF514SEQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR481QLH	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:NR3C1'], 'aliases': ['michael-snyder:TS-126'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2908/'], '@type': ['Target', 'Item'], 'label': 'NR3C1', 'title': 'NR3C1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '79b976c7-fadf-44ef-8f24-37eb21ef8cb9', 'schema_version': '14', 'name': 'NR3C1-human', '@id': '/targets/NR3C1-human/', 'status': 'released'}				NR3C1-human	DNA				formaldehyde		2020-07-09	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF376IDO/, /files/ENCFF312DRV/, /files/ENCFF723HPB/, /files/ENCFF356LFX/	11234	ENCODE Processing Pipeline	51a2956e1704035f4ac171563e2339df		https://www.encodeproject.org/files/ENCFF514SEQ/@@download/ENCFF514SEQ.bed.gz				released	s3://encode-public/2020/07/01/dc43e877-2462-44fa-8667-26a875ff5a8a/ENCFF514SEQ.bed.gz	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF701DTE	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR980EGJ	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7157/'], '@type': ['Target', 'Item'], 'name': 'TP53-human', 'label': 'TP53', '@id': '/targets/TP53-human/', 'title': 'TP53 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '7d42a35a-5223-4073-9d28-22faca36f88b', 'status': 'released'}				TP53-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF807WUO/, /files/ENCFF657NDS/, /files/ENCFF356LFX/, /files/ENCFF456FMB/	148397	ENCODE Processing Pipeline	9c8da26afab17dcf6286dec64d0fd806		https://www.encodeproject.org/files/ENCFF701DTE/@@download/ENCFF701DTE.bed.gz				released	s3://encode-public/2020/07/04/24a9a007-f60e-4dd8-9f2b-40dd83432685/ENCFF701DTE.bed.gz	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF678QTH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR886OEO	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										EP300-human	DNA				formaldehyde		2017-10-19	GGR		sonication (Bioruptor Twin)	>200	2, 3	2_1, 3_1							/files/ENCFF690PEG/, /files/ENCFF040EMK/, /files/ENCFF439UUO/, /files/ENCFF138AMX/, /files/ENCFF356LFX/, /files/ENCFF928UTV/	236066	ENCODE Processing Pipeline	741f72e0121fbdb7017713b966085212		https://www.encodeproject.org/files/ENCFF678QTH/@@download/ENCFF678QTH.bed.gz				released	s3://encode-public/2021/01/03/1afaa0ed-52ac-412f-b1c3-b13570d04fb9/ENCFF678QTH.bed.gz	ENCODE4 v1.6.1 GRCh38	released			
